,geo,time,Display_impression,Social_impression,TV_impression,competitor_activity_score_control,sentiment_score_control,Display_spend,Social_spend,TV_spend,Display_reach,Social_reach,TV_reach,Display_frequency,Social_frequency,TV_frequency,conversions,revenue_per_conversion,population
0,Alabama,2021-01-25,49388.0,117499.0,138723.0,-0.12806565,-3.2141294,570.96295,1307.1718,1611.8792,18696.346,41445.72,36131.582,2.641599,2.8349974,3.8393922,7.759336e+07,0.03520544,5.193088e+06
1,Alabama,2021-02-01,128015.0,86354.0,93005.0,-0.23153937,-1.3395052,1479.9509,960.6848,1080.663,33426.3,63974.562,32712.303,3.8297791,1.3498236,2.8431075,8.256021e+07,0.034591857,5.193088e+06
2,Alabama,2021-02-08,575938.0,346731.0,209225.0,1.9964783,1.055429,6658.282,3857.3687,2431.0706,120480.82,170586.83,120380.56,4.780325,2.032579,1.7380292,1.2136133e+08,0.034961995,5.193088e+06
3,Alabama,2021-02-15,414373.0,437368.0,388326.0,-1.9359593,2.2519503,4790.468,4865.7017,4512.118,129054.24,187186.17,109001.055,3.210845,2.3365424,3.562594,9.072971e+07,0.034840744,5.193088e+06
4,Alabama,2021-02-22,694492.0,817176.0,70875.0,-4.393365,1.4588137,8028.857,9091.051,823.5255,183272.78,258319.3,30831.473,3.7893896,3.163435,2.2987745,6.6687664e+07,0.034559414,5.193088e+06
5,Alabama,2021-03-01,489901.0,1.009901e+06,191893.0,4.0607624,0.5027896,5663.629,11235.108,2229.683,275031.9,277360.78,106889.22,1.78125,3.6411104,1.7952492,8.5123016e+07,0.034919277,5.193088e+06
6,Alabama,2021-03-08,1.184322e+06,1.283443e+06,141045.0,2.9720178,4.643122,13691.665,14278.252,1638.8594,278188.6,441003.3,96642.74,4.257262,2.9102798,1.4594477,1.2744428e+08,0.034556158,5.193088e+06
7,Alabama,2021-03-15,1.033592e+06,1.25439e+06,134562.0,-1.4858538,4.6529894,11949.111,13955.039,1563.5308,334270.28,476949.62,76938.46,3.0920837,2.6300266,1.74895,9.551919e+07,0.035370618,5.193088e+06
8,Alabama,2021-03-22,682319.0,565013.0,376766.0,1.2714187,0.100342035,7888.128,6285.747,4377.798,396973.34,529255.06,78847.766,1.7188033,1.0675629,4.7783976,9.568826e+07,0.034955863,5.193088e+06
9,Alabama,2021-03-29,2.396505e+06,683870.0,679312.0,2.7698288,-2.3770928,27705.424,7608.0264,7893.203,486287.66,553861.75,211974.5,4.9281626,1.234731,3.2046869,8.452781e+07,0.03507505,5.193088e+06
10,Alabama,2021-04-05,2.172073e+06,3.327064e+06,1.165317e+06,-1.39733,-0.4997425,25110.82,37013.453,13540.293,489736.22,666400.3,257669.0,4.4351892,4.992591,4.522535,8.061516e+07,0.035015542,5.193088e+06
11,Alabama,2021-04-12,709026.0,2.763525e+06,642236.0,3.6388073,1.2485563,8196.881,30744.105,7462.402,464719.66,585569.4,183372.4,1.5257069,4.7193813,3.5023615,1.0331533e+08,0.035145894,5.193088e+06
12,Alabama,2021-04-19,1.882246e+06,2.47522e+06,998786.0,4.9993687,6.4472303,21760.2,27536.725,11605.302,474319.0,596804.94,211668.44,3.9683125,4.1474524,4.7186337,1.3600998e+08,0.03466149,5.193088e+06
