,geo,time,Display_impression,Social_impression,TV_impression,competitor_activity_score_control,seasonality_index_control,sentiment_score_control,Display_spend,Social_spend,TV_spend,Display_reach,Social_reach,TV_reach,Display_frequency,Social_frequency,TV_frequency,conversions,revenue_per_conversion,population
0,Alabama,2023-01-09,1.15109e+06,2.020824e+06,2.762686e+06,0.5379438,0.73778486,1.3514284,2316.1685,9725.175,27956.746,234875.28,475505.8,871642.25,4.900856,4.2498403,3.169518,1.5626925e+07,0.035048917,5.193088e+06
1,Alabama,2023-01-16,383747.0,1.420115e+06,4.699848e+06,0.8456434,0.5934243,0.65799785,772.1574,6834.275,47559.676,237291.94,451853.25,945194.9,1.6171942,3.1428678,4.9723587,1.8149924e+07,0.03452891,5.193088e+06
2,Alabama,2023-01-23,182103.0,2.404846e+06,2.552594e+06,-0.23366617,0.4404532,0.900505,366.419,11573.273,25830.74,166279.64,531139.75,746694.6,1.0951602,4.5277085,3.4185247,1.7870658e+07,0.03495413,5.193088e+06
3,Alabama,2023-01-30,194692.0,1.339965e+06,2.039968e+06,-0.7548619,0.28110215,-2.2149737,391.74997,6448.5547,20643.268,121585.04,609791.44,496360.0,1.6012794,2.1974154,4.1098566,8.092885e+06,0.03462191,5.193088e+06
4,Alabama,2023-02-06,461549.0,2.498832e+06,523989.0,-0.09395033,0.11769491,-1.2802876,928.7069,12025.579,5302.4585,152782.03,530369.2,286558.97,3.020961,4.7114964,1.8285544,1.073176e+07,0.03492767,5.193088e+06
5,Alabama,2023-02-13,1.015273e+06,1.723212e+06,541200.0,-0.7175251,-0.047385685,0.24859679,2042.884,8292.923,5476.6235,201304.98,381694.7,175285.98,5.043458,4.5146337,3.0875266,1.2415204e+07,0.035292275,5.193088e+06
6,Alabama,2023-02-20,467552.0,717315.0,306816.0,-0.051243335,-0.21173239,-0.6168836,940.7859,3452.064,3104.7961,326801.88,293047.28,99572.625,1.4306906,2.4477785,3.081331,1.3131288e+07,0.03465609,5.193088e+06
7,Alabama,2023-02-27,808868.0,566778.0,54798.0,0.29323453,-0.37294865,-0.61631393,1627.5658,2727.6077,554.5233,194155.19,313741.78,31708.777,4.1660895,1.8065095,1.7281765,1.2621331e+07,0.035035126,5.193088e+06
8,Alabama,2023-03-06,384789.0,626811.0,62422.0,-0.36711803,-0.5286836,0.23790349,774.25415,3016.5154,631.6737,181574.16,484930.7,24888.156,2.1191835,1.2925779,2.5081184,1.1198284e+07,0.03543209,5.193088e+06
9,Alabama,2023-03-13,730441.0,765894.0,143125.0,-1.2226002,-0.67666626,-2.42152,1469.7587,3685.8496,1448.3402,147112.8,489195.94,101608.85,4.965177,1.5656178,1.4085916,4.4941985e+06,0.035456594,5.193088e+06
10,Alabama,2023-03-20,279209.0,674174.0,124886.0,1.2891092,-0.8147387,0.77518564,561.81104,3244.4487,1263.7723,87974.26,359089.6,101954.78,3.1737587,1.877454,1.2249185,1.6447068e+07,0.034949552,5.193088e+06
11,Alabama,2023-03-27,319125.0,646563.0,215902.0,0.17779967,-0.94088745,0.3314415,642.1281,3111.5715,2184.8003,104679.69,357860.6,51964.42,3.0485864,1.8067454,4.154804,1.4434031e+07,0.0345437,5.193088e+06
12,Alabama,2023-04-03,632220.0,1.698098e+06,65164.0,-1.479234,-1.0532732,0.20207088,1272.123,8172.0625,659.4211,158328.31,472702.62,26378.562,3.9930975,3.5923173,2.4703548,1.0921717e+07,0.034682706,5.193088e+06
13,Alabama,2023-04-10,854708.0,682917.0,80029.0,0.14577146,-1.1502568,0.8062748,1719.8027,3286.5244,809.84607,166999.22,364197.53,26750.248,5.1180344,1.8751268,2.9917169,1.0156426e+07,0.03469796,5.193088e+06
14,Alabama,2023-04-17,426613.0,1.256958e+06,25855.0,0.22771895,-1.2304243,0.57572734,858.4104,6049.085,261.63727,289860.28,351449.5,17924.3,1.4717891,3.576496,1.4424795,1.1754823e+07,0.034572218,5.193088e+06
15,Alabama,2023-04-24,403558.0,1.745907e+06,101394.0,-0.07985054,-1.2926064,-1.5834585,812.0202,8402.142,1026.0472,94001.914,413381.47,22373.992,4.293081,4.2234764,4.5317793,5.763828e+06,0.034991864,5.193088e+06
16,Alabama,2023-05-01,432207.0,1.348623e+06,262941.0,-1.3694954,-1.3358965,-2.8068643,869.6664,6490.221,2660.8071,198522.36,340851.84,59361.56,2.1771193,3.9566264,4.429487,741786.6,0.034668546,5.193088e+06
17,Alabama,2023-05-08,765295.0,997331.0,47276.0,-0.75957257,-1.3596634,-0.8049713,1539.8903,4799.6357,478.40512,152240.61,274525.22,21542.04,5.0268793,3.6329296,2.1946142,5.4470085e+06,0.03487573,5.193088e+06
18,Alabama,2023-05-15,277203.0,660379.0,68991.0,-0.9096716,-1.3635606,-0.30495474,557.77466,3178.0608,698.1481,148578.61,260382.22,14372.27,1.8657024,2.5361905,4.800265,5.9079235e+06,0.03482615,5.193088e+06
19,Alabama,2023-05-22,558620.0,793738.0,51063.0,-1.0280311,-1.3475308,-0.7144854,1124.0286,3819.8481,516.7273,126907.516,269581.44,14372.27,4.401787,2.9443352,3.5528848,7.186599e+06,0.0354365,5.193088e+06
20,Alabama,2023-05-29,309346.0,1.20724e+06,361405.0,-1.5533845,-1.3118082,-0.042224877,622.4513,5809.8184,3657.2046,84412.74,322611.1,128489.43,3.6646838,3.74209,2.8127213,7.3765105e+06,0.035432406,5.193088e+06
21,Alabama,2023-06-05,167222.0,452399.0,280617.0,-0.13919637,-1.2569137,0.1325706,336.47617,2177.1611,2839.6777,66811.29,381536.28,104020.91,2.5029013,1.185731,2.6976972,1.1505844e+07,0.035461105,5.193088e+06
22,Alabama,2023-06-12,534923.0,1.188931e+06,36413.0,-0.5977217,-1.1836475,-1.5175467,1076.3467,5721.7065,368.478,144890.52,409111.62,24030.074,3.6919146,2.9061277,1.5152941,4.812575e+06,0.034694687,5.193088e+06
23,Alabama,2023-06-19,576351.0,2.087492e+06,191512.0,-0.5544511,-1.0930783,-1.0371115,1159.7062,10046.013,1937.988,143242.55,435338.7,44389.613,4.0236034,4.7950983,4.3143344,4.165778e+06,0.034744732,5.193088e+06
24,Alabama,2023-06-26,137408.0,1.044333e+06,56421.0,-0.582805,-0.98652655,-0.42361346,276.48584,5025.8315,570.94714,81336.46,445404.12,14372.27,1.6893826,2.3446872,3.925668,2.307046e+06,0.03507187,5.193088e+06
25,Alabama,2023-07-03,103064.0,830137.0,163003.0,2.0625775,-0.86554617,0.6476214,207.38048,3995.0178,1649.4938,96790.69,395699.6,39220.67,1.0648134,2.097897,4.156036,1.4585218e+07,0.03545957,5.193088e+06
26,Alabama,2023-07-10,276802.0,373909.0,351161.0,-0.0041497294,-0.7319013,-1.0530354,556.96783,1799.4296,3553.5413,104780.05,361565.6,137357.88,2.641741,1.0341387,2.5565388,6.837886e+06,0.035414383,5.193088e+06
27,Alabama,2023-07-17,312300.0,1.030229e+06,667069.0,-0.8886714,-0.5875407,0.45328325,628.3952,4957.9565,6750.343,123985.43,251359.55,142927.6,2.518845,4.0986266,4.667182,1.326587e+07,0.035297338,5.193088e+06
28,Alabama,2023-07-24,332228.0,657177.0,375242.0,0.28828153,-0.4345696,-2.1027925,668.49335,3162.6514,3797.2268,151708.25,364752.78,114882.44,2.1899164,1.8017055,3.2663088,9.811656e+06,0.034957923,5.193088e+06
29,Alabama,2023-07-31,841567.0,1.747053e+06,358012.0,0.32040536,-0.27521855,0.89901924,1693.3611,8407.658,3622.8691,200776.73,456306.3,142205.42,4.1915584,3.828685,2.5175729,1.4522079e+07,0.034559693,5.193088e+06
30,Alabama,2023-08-07,1.051088e+06,1.65447e+06,610960.0,0.28589717,-0.111811325,1.2133284,2114.9492,7962.1035,6182.5537,226106.02,448933.47,226892.33,4.648652,3.6853335,2.6927314,1.3176954e+07,0.035075247,5.193088e+06
31,Alabama,2023-08-14,905812.0,1.073544e+06,1.031696e+06,0.106780656,0.053269267,-2.6775322,1822.6318,5166.409,10440.152,196060.3,463237.44,327608.16,4.6200695,2.3174822,3.1491773,6.3544725e+06,0.03454645,5.193088e+06
32,Alabama,2023-08-21,477456.0,1.191741e+06,3.132822e+06,3.3018458,0.21761599,-0.35452375,960.71423,5735.2295,31702.303,161560.98,625526.7,623067.0,2.9552662,1.9051803,5.028066,2.2131386e+07,0.0350264,5.193088e+06
33,Alabama,2023-08-28,304582.0,736691.0,4.196906e+06,0.88598424,0.37883225,-1.989377,612.8654,3545.3108,42470.203,176670.92,558956.56,866715.44,1.7240069,1.317976,4.8423114,1.4366017e+07,0.034812577,5.193088e+06
34,Alabama,2023-09-04,481848.0,1.278154e+06,2.759226e+06,0.10546402,0.5345672,2.1415274,969.55164,6151.0903,27921.732,148989.69,625526.7,1.1842089e+06,3.2341006,2.0433252,2.3300166,1.9563854e+07,0.034969173,5.193088e+06
35,Alabama,2023-09-11,588853.0,2.400256e+06,1.659324e+06,0.13187388,0.6825499,2.136642,1184.862,11551.184,16791.377,167332.95,625526.7,1.2004575e+06,3.5190496,3.8371751,1.3822432,1.9510444e+07,0.035232328,5.193088e+06
36,Alabama,2023-09-18,662316.0,2.742393e+06,5.357244e+06,1.9926682,0.8206223,-0.43309268,1332.6808,13197.711,54212.137,323751.56,592029.06,1.2549189e+06,2.0457537,4.6321936,4.2689962,2.0793922e+07,0.03476396,5.193088e+06
37,Alabama,2023-09-25,869384.0,1.846161e+06,1.789219e+06,1.0952282,0.9467711,-1.413405,1749.3331,8884.613,18105.836,196262.2,425951.75,1.2958791e+06,4.4297075,4.3342023,1.3806987,1.6802718e+07,0.034689248,5.193088e+06
38,Alabama,2023-10-02,537001.0,467235.0,2.858359e+06,-1.0584966,1.0591568,0.6990496,1080.5278,2248.559,28924.9,210702.16,346199.12,1.338611e+06,2.5486255,1.3496131,2.135317,1.9514678e+07,0.035224237,5.193088e+06
39,Alabama,2023-10-09,920435.0,806355.0,1.395401e+06,-0.37176526,1.1561403,0.2022665,1852.0555,3880.5671,14120.632,215045.75,436396.66,1.3409178e+06,4.280181,1.8477569,1.0406314,1.5444437e+07,0.034939356,5.193088e+06
