variant,channel,spend_multiplier,mean,ci_lo,ci_hi
truth,TV,1.0,6.853488445281982,6.853488445281982,6.853488445281982
truth,TV,2.0,5.650485038757324,5.650485038757324,5.650485038757324
truth,TV,3.0,4.748908996582031,4.748908996582031,4.748908996582031
truth,TV,5.0,3.5042765140533447,3.5042765140533447,3.5042765140533447
truth,TV,10.0,1.9362380504608154,1.9362380504608154,1.9362380504608154
truth,Display,1.0,2.8754329681396484,2.8754329681396484,2.8754329681396484
truth,Display,2.0,1.4390963315963745,1.4390963315963745,1.4390963315963745
truth,Display,3.0,0.8802287578582764,0.8802287578582764,0.8802287578582764
truth,Display,5.0,0.4378950893878937,0.4378950893878937,0.4378950893878937
truth,Display,10.0,0.1516195386648178,0.1516195386648178,0.1516195386648178
default,TV,1.0,6.9769158363342285,5.712284088134766,8.249861717224121
default,Display,1.0,2.7557590007781982,2.3068971633911133,3.2537999153137207
default,TV,2.0,3.086672782897949,2.2290446758270264,4.11680793762207
default,Display,2.0,1.1827328205108643,0.9195007681846619,1.478928565979004
default,TV,3.0,1.7557717561721802,1.1724131107330322,2.523897409439087
default,Display,3.0,0.6706398725509644,0.5022423267364502,0.8769351840019226
default,TV,5.0,0.7981906533241272,0.49427977204322815,1.241317868232727
default,Display,5.0,0.30818507075309753,0.21836405992507935,0.424046128988266
default,TV,10.0,0.24589116871356964,0.13986648619174957,0.41236865520477295
default,Display,10.0,0.09817419946193695,0.0651990994811058,0.14259782433509827
ec_alpha_only,TV,1.0,6.922302722930908,5.646036624908447,8.195009231567383
ec_alpha_only,Display,1.0,3.2359094619750977,2.761601209640503,3.7287611961364746
ec_alpha_only,TV,2.0,5.670467853546143,4.615034580230713,6.728850841522217
ec_alpha_only,Display,2.0,1.598684310913086,1.3536916971206665,1.8568140268325806
ec_alpha_only,TV,3.0,4.744852066040039,3.837339401245117,5.670568943023682
ec_alpha_only,Display,3.0,0.9693349003791809,0.8150800466537476,1.1301350593566895
ec_alpha_only,TV,5.0,3.48299241065979,2.7975029945373535,4.191844463348389
ec_alpha_only,Display,5.0,0.47613078355789185,0.3974249064922333,0.559132993221283
ec_alpha_only,TV,10.0,1.9160282611846924,1.4939919710159302,2.353079319000244
ec_alpha_only,Display,10.0,0.16136132180690765,0.13404108583927155,0.19192449748516083
