variant,channel,spend_multiplier,mean,ci_lo,ci_hi
truth,TV,0.5,6790589.0,6790589.0,6790589.0
truth,TV,1.0,12884230.0,12884230.0,12884230.0
truth,TV,1.5,18388150.0,18388150.0,18388150.0
truth,TV,2.0,23387796.0,23387796.0,23387796.0
truth,TV,3.0,32138184.0,32138184.0,32138184.0
truth,TV,5.0,45928220.0,45928220.0,45928220.0
truth,TV,7.0,56338624.0,56338624.0,56338624.0
truth,TV,10.0,67954400.0,67954400.0,67954400.0
truth,Display,0.5,8726000.0,8726000.0,8726000.0
truth,Display,1.0,13478200.0,13478200.0,13478200.0
truth,Display,1.5,16548606.0,16548606.0,16548606.0
truth,Display,2.0,18723300.0,18723300.0,18723300.0
truth,Display,3.0,21634582.0,21634582.0,21634582.0
truth,Display,5.0,24845396.0,24845396.0,24845396.0
truth,Display,7.0,26612320.0,26612320.0,26612320.0
truth,Display,10.0,28172370.0,28172370.0,28172370.0
default,TV,0.5,17659144.0,12057536.0,23584312.0
default,TV,1.0,25660500.0,19320884.0,32457416.0
default,TV,1.5,30371084.0,23951014.0,37108516.0
default,TV,2.0,33508062.0,27084414.0,40214588.0
default,TV,3.0,37456636.0,31097620.0,43996604.0
default,TV,5.0,41474624.0,34752468.0,48081860.0
default,TV,7.0,43526408.0,36565268.0,50321460.0
default,TV,10.0,45235260.0,37997424.0,52410504.0
default,Display,0.5,12333544.0,9032944.0,16851008.0
default,Display,1.0,17286730.0,13502284.0,22269506.0
default,Display,1.5,20097298.0,16159031.0,25125108.0
default,Display,2.0,21941192.0,18001252.0,26937922.0
default,Display,3.0,24246666.0,20221200.0,29090578.0
default,Display,5.0,26599846.0,22388430.0,31449984.0
default,Display,7.0,27817560.0,23507986.0,32761734.0
default,Display,10.0,28848848.0,24455474.0,33830996.0
ec_alpha_only,TV,0.5,6907787.0,5634472.5,8168151.0
ec_alpha_only,TV,1.0,13076123.0,10640848.0,15453986.0
ec_alpha_only,TV,1.5,18625532.0,15170490.0,22003492.0
ec_alpha_only,TV,2.0,23650280.0,19294784.0,28014526.0
ec_alpha_only,TV,3.0,32412156.0,26390024.0,38368184.0
ec_alpha_only,TV,5.0,46152776.0,37532340.0,54738804.0
ec_alpha_only,TV,7.0,56485652.0,45956484.0,67214816.0
ec_alpha_only,TV,10.0,67989120.0,54930176.0,81291208.0
ec_alpha_only,Display,0.5,10027583.0,8594812.0,11698501.0
ec_alpha_only,Display,1.0,15404856.0,13242738.0,17818070.0
ec_alpha_only,Display,1.5,18848124.0,16212410.0,21768742.0
ec_alpha_only,Display,2.0,21271236.0,18313550.0,24565524.0
ec_alpha_only,Display,3.0,24492188.0,21100884.0,28209540.0
ec_alpha_only,Display,5.0,28007512.0,24084928.0,32207792.0
ec_alpha_only,Display,7.0,29919966.0,25699874.0,34328260.0
ec_alpha_only,Display,10.0,31590788.0,27085136.0,36244628.0
