seed,oracle_r2,media_share_pct,clipped_frac_pct,true_roi_m,default_ec_m,default_ec_err,default_roi_m,default_roi_err,default_alpha_err,ec_alpha_only_ec_m,ec_alpha_only_ec_err,ec_alpha_only_roi_m,ec_alpha_only_roi_err,ec_alpha_only_alpha_err
7,0.8001,35.7,1.19,12.61,0.974,-89.2,19.397,53.8,-12.8,8.581,-4.7,11.822,-6.2,-15.3
8,0.7999,32.1,1.76,7.348,0.927,-89.7,13.991,90.4,-12.6,8.702,-3.3,8.083,10.0,-15.1
42,0.7999,32.6,2.79,9.671,3.08,-65.8,12.69,31.2,1.3,9.078,0.9,15.697,62.3,9.0
99,0.8001,34.4,3.72,9.96,2.905,-67.7,12.464,25.1,12.2,9.275,3.1,12.474,25.2,7.1
101,0.7998,32.0,1.79,7.055,1.958,-78.2,6.415,-9.1,13.7,9.127,1.4,5.098,-27.7,4.8
555,0.7999,32.9,2.76,7.206,1.439,-84.0,12.466,73.0,-0.4,9.051,0.6,7.707,7.0,-11.7
1320,0.8001,31.2,3.08,7.642,0.914,-89.8,15.221,99.2,-1.7,8.926,-0.8,7.756,1.5,-13.6
2024,0.8001,31.8,2.44,7.991,2.354,-73.8,14.692,83.9,0.2,8.982,-0.2,13.179,64.9,-0.9
12345,0.7999,33.3,3.78,7.339,0.95,-89.4,19.088,160.1,11.3,8.782,-2.4,13.105,78.6,7.4
31337,0.7999,32.7,2.24,7.52,1.033,-88.5,13.859,84.3,-22.2,8.784,-2.4,8.817,17.3,-20.9
