seed,channel,variant,spend_multiplier,mean,true_mroi,pct_error,q05,q25,q50,q75,q95,truth_in_ci
555,TV,truth,1.0,5.872390506997097,,,,,,,,
555,TV,truth,2.0,4.75758526298426,,,,,,,,
555,TV,truth,3.0,3.956225830363134,,,,,,,,
555,TV,truth,5.0,2.890759968984129,,,,,,,,
555,TV,truth,10.0,1.600947662951077,,,,,,,,
555,Display,truth,1.0,3.3073036995613645,,,,,,,,
555,Display,truth,2.0,1.6535921188126272,,,,,,,,
555,Display,truth,3.0,1.0106214318912912,,,,,,,,
555,Display,truth,5.0,0.5022498356730681,,,,,,,,
555,Display,truth,10.0,0.17368172675945634,,,,,,,,
555,TV,default,1.0,4.932469367980957,5.872390506997097,-16.005766951230527,4.423436164855957,4.710506439208984,4.92622709274292,5.14581298828125,5.480375289916992,0.0
555,Display,default,1.0,3.00154972076416,3.3073036995613645,-9.244811077910853,2.7053422927856445,2.877868890762329,2.994184732437134,3.1186606884002686,3.315866708755493,1.0
555,TV,default,2.0,3.1684062480926514,4.75758526298426,-33.40305905300317,2.7445826530456543,2.9863905906677246,3.160362720489502,3.3449020385742188,3.613162040710449,0.0
555,Display,default,2.0,1.4498076438903809,1.6535921188126272,-12.323744931039894,1.2406237125396729,1.3612489700317383,1.4406752586364746,1.5353251695632935,1.6723090410232544,1.0
555,TV,default,3.0,2.2451226711273193,3.956225830363134,-43.250897006522905,1.878049373626709,2.092538833618164,2.236497163772583,2.3994288444519043,2.6302664279937744,0.0
555,Display,default,3.0,0.8724740147590637,1.0106214318912912,-13.669551502949673,0.722899854183197,0.8062700033187866,0.8662935495376587,0.9343584775924683,1.0348273515701294,1.0
555,TV,default,5.0,1.3259955644607544,2.890759968984129,-54.129862780452996,1.0614283084869385,1.2151178121566772,1.3176017999649048,1.4361830949783325,1.6082963943481445,0.0
555,Display,default,5.0,0.4278052747249603,0.5022498356730681,-14.822217084121924,0.3435455560684204,0.3885016441345215,0.424230694770813,0.46291306614875793,0.5253947973251343,1.0
555,TV,default,10.0,0.5558478832244873,1.600947662951077,-65.28007154213427,0.4184374511241913,0.49632275104522705,0.5500401258468628,0.6121535897254944,0.707335889339447,0.0
555,Display,default,10.0,0.14683765172958374,0.17368172675945634,-15.45590058938715,0.11395169049501419,0.13083042204380035,0.1447693109512329,0.1604224592447281,0.1866784542798996,1.0
555,TV,ec_centred25_alpha_u05,1.0,5.332790851593018,5.872390506997097,-9.188756346519078,4.804455280303955,5.104513168334961,5.325705528259277,5.54811429977417,5.8774189949035645,1.0
555,Display,ec_centred25_alpha_u05,1.0,3.06937837600708,3.3073036995613645,-7.193936365318965,2.767474412918091,2.9437255859375,3.0629563331604004,3.191534996032715,3.369981050491333,1.0
555,TV,ec_centred25_alpha_u05,2.0,4.381844520568848,4.75758526298426,-7.897719570867423,3.820543050765991,4.149128437042236,4.3845367431640625,4.609550952911377,4.934553623199463,1.0
555,Display,ec_centred25_alpha_u05,2.0,1.4952397346496582,1.6535921188126272,-9.57626626067104,1.293884515762329,1.4092227220535278,1.4896724224090576,1.5779989957809448,1.7092679738998413,1.0
555,TV,ec_centred25_alpha_u05,3.0,3.691317081451416,3.956225830363134,-6.695996646061097,3.093923807144165,3.4439079761505127,3.6957125663757324,3.932124376296997,4.285331726074219,1.0
555,Display,ec_centred25_alpha_u05,3.0,0.9032953977584839,1.0106214318912912,-10.619805868549204,0.7611667513847351,0.8408233523368835,0.8975694179534912,0.9618878364562988,1.0598516464233398,1.0
555,TV,ec_centred25_alpha_u05,5.0,2.758613348007202,2.890759968984129,-4.57134533460991,2.1731393337249756,2.495366096496582,2.760878086090088,3.0020592212677,3.386338949203491,1.0
555,Display,ec_centred25_alpha_u05,5.0,0.44442984461784363,0.5022498356730681,-11.512197107588806,0.3630508780479431,0.4076728820800781,0.4413732886314392,0.47756290435791016,0.5373552441596985,1.0
555,TV,ec_centred25_alpha_u05,10.0,1.5926222801208496,1.600947662951077,-0.5200284195974847,1.1196656227111816,1.3725178241729736,1.579176664352417,1.785048007965088,2.128378391265869,1.0
555,Display,ec_centred25_alpha_u05,10.0,0.15284064412117004,0.17368172675945634,-11.999582815727372,0.12099917232990265,0.1382083296775818,0.15116214752197266,0.16573703289031982,0.19039827585220337,1.0
