seed,channel,variant,spend_multiplier,mean,true_mroi,pct_error,q05,q25,q50,q75,q95,truth_in_ci
7,TV,truth,1.0,5.872906102707943,,,,,,,,
7,TV,truth,2.0,4.757403177551883,,,,,,,,
7,TV,truth,3.0,3.954970555641275,,,,,,,,
7,TV,truth,5.0,2.888211566346235,,,,,,,,
7,TV,truth,10.0,1.597669651355073,,,,,,,,
7,Display,truth,1.0,3.309897109914494,,,,,,,,
7,Display,truth,2.0,1.6607579300493809,,,,,,,,
7,Display,truth,3.0,1.0177181257470544,,,,,,,,
7,Display,truth,5.0,0.5074636072742088,,,,,,,,
7,Display,truth,10.0,0.1761800368423205,,,,,,,,
7,TV,default,1.0,5.337937355041504,5.872906102707943,-9.109097579812651,4.930667877197266,5.164642810821533,5.339676856994629,5.49991512298584,5.7396039962768555,0.0
7,Display,default,1.0,2.901644468307495,3.309897109914494,-12.334300071869752,2.637343168258667,2.790355920791626,2.897831916809082,3.010023355484009,3.1739070415496826,0.0
7,TV,default,2.0,3.4567298889160156,4.757403177551883,-27.339984443050337,3.087782382965088,3.294604778289795,3.457683563232422,3.6048920154571538,3.8547377586364746,0.0
7,Display,default,2.0,1.4125436544418335,1.6607579300493809,-14.945843166930828,1.2263931035995483,1.3317970037460327,1.4066789150238037,1.487770438194275,1.6178704500198364,0.0
7,TV,default,3.0,2.4598746299743652,3.954970555641275,-37.80295970937991,2.1223559379577637,2.3109965324401855,2.4588756561279297,2.598675012588501,2.828146457672119,0.0
7,Display,default,3.0,0.8543948531150818,1.0177181257470544,-16.04798701134319,0.7190508842468262,0.7954069375991821,0.8491717576980591,0.9087325930595398,1.005347728729248,0.0
7,TV,default,5.0,1.4587209224700928,2.888211566346235,-49.493972689976296,1.2034319639205933,1.3436598777770996,1.4556241035461426,1.567406415939331,1.7446374893188477,0.0
7,Display,default,5.0,0.4216630756855011,0.5074636072742088,-16.907721136807595,0.3437283635139465,0.3862348794937134,0.4177062213420868,0.4528852999210357,0.5137083530426025,1.0
7,TV,default,10.0,0.612755537033081,1.597669651355073,-61.64691890383167,0.4746150076389313,0.548514723777771,0.6077399849891663,0.6709474325180054,0.7704930901527405,0.0
7,Display,default,10.0,0.1459748744964599,0.1761800368423205,-17.14448633751503,0.1148267984390258,0.1314369142055511,0.1443392634391784,0.15849369764328,0.1831683218479156,1.0
7,TV,ec_centred25_alpha_u05,1.0,5.609072685241699,5.872906102707943,-4.492382695248487,5.195301055908203,5.440237998962402,5.608556747436523,5.777358055114746,6.027380466461182,1.0
7,Display,ec_centred25_alpha_u05,1.0,2.970998764038086,3.309897109914494,-10.238938994848768,2.694641351699829,2.8631577491760254,2.968109369277954,3.0812902450561523,3.238947868347168,0.0
7,TV,ec_centred25_alpha_u05,2.0,4.522476673126221,4.757403177551883,-4.93812476382447,4.054102897644043,4.324110984802246,4.527218818664551,4.714372634887695,5.0037946701049805,1.0
7,Display,ec_centred25_alpha_u05,2.0,1.4579235315322876,1.6607579300493809,-12.213363238979811,1.2773078680038452,1.3810114860534668,1.4538131952285769,1.5360053777694702,1.6482110023498535,0.0
7,TV,ec_centred25_alpha_u05,3.0,3.753754377365112,3.954970555641275,-5.087678288505925,3.2263755798339844,3.5271236896514893,3.74826717376709,3.9759645462036137,4.315582275390625,1.0
7,Display,ec_centred25_alpha_u05,3.0,0.8850974440574646,1.0177181257470544,-13.03118008163998,0.7541936635971069,0.8286405801773071,0.8814967274665833,0.9410911202430724,1.02679443359375,1.0
7,TV,ec_centred25_alpha_u05,5.0,2.743642568588257,2.888211566346235,-5.005485035878676,2.190246820449829,2.4976091384887695,2.7194418907165527,2.975834369659424,3.359846591949463,1.0
7,Display,ec_centred25_alpha_u05,5.0,0.4382353723049164,0.5074636072742088,-13.642009786897846,0.3625093996524811,0.4037234485149383,0.4354128837585449,0.4703294634819031,0.5233379602432251,1.0
7,TV,ec_centred25_alpha_u05,10.0,1.530712366104126,1.597669651355073,-4.190934289460701,1.0963047742843628,1.3229271173477173,1.4994943141937256,1.7158721685409546,2.074953079223633,1.0
7,Display,ec_centred25_alpha_u05,10.0,0.1519622206687927,0.1761800368423205,-13.746061476421731,0.1219248175621032,0.1377497613430023,0.1507046222686767,0.1647439450025558,0.1873033791780471,1.0
8,TV,truth,1.0,5.8545600877681325,,,,,,,,
8,TV,truth,2.0,4.723391330067955,,,,,,,,
8,TV,truth,3.0,3.916179360415827,,,,,,,,
8,TV,truth,5.0,2.850402614126576,,,,,,,,
8,TV,truth,10.0,1.5711101262986562,,,,,,,,
8,Display,truth,1.0,3.312854454593554,,,,,,,,
8,Display,truth,2.0,1.6603298045338513,,,,,,,,
8,Display,truth,3.0,1.0164334683941227,,,,,,,,
8,Display,truth,5.0,0.5061555952562691,,,,,,,,
8,Display,truth,10.0,0.1754338553978526,,,,,,,,
8,TV,default,1.0,6.0833611488342285,5.8545600877681325,3.908082889850717,5.6336541175842285,5.8932037353515625,6.083137512207031,6.2691731452941895,6.533271312713623,1.0
8,Display,default,1.0,2.9301493167877197,3.312854454593554,-11.552126513592563,2.665837526321411,2.819329261779785,2.9313454627990723,3.0339488983154297,3.2096221446990967,0.0
8,TV,default,2.0,3.8212265968322754,4.723391330067955,-19.099936257508865,3.402134656906128,3.6420681476593018,3.824851512908935,3.999990940093994,4.239682674407959,0.0
8,Display,default,2.0,1.4861634969711304,1.6603298045338513,-10.4898621398668,1.287383198738098,1.3999078273773191,1.4815740585327148,1.5669002532958984,1.7017000913619995,1.0
8,TV,default,3.0,2.6658942699432373,3.916179360415827,-31.92614472948534,2.2942285537719727,2.5062787532806396,2.666715621948242,2.817600965499878,3.0424909591674805,0.0
8,Display,default,3.0,0.9175779223442078,1.0164334683941227,-9.725727174853684,0.767091691493988,0.8494077920913696,0.9140960574150084,0.97761207818985,1.086597204208374,1.0
8,TV,default,5.0,1.5406733751296997,2.850402614126576,-45.948920777221694,1.2606326341629028,1.417056441307068,1.5407875776290894,1.6555709838867188,1.8330235481262207,0.0
