seed,basis,realism,informed_variant,target_oracle_r2,achieved_oracle_r2,noise_scale,media_share_pct,true_alpha_m,true_roi_m,default_ec_m_anchor,default_alpha_m_anchor,default_ec_err,default_roi_err,default_alpha_err,default_alpha_pp,informed_ec_m_anchor,informed_alpha_m_anchor,informed_ec_err,informed_roi_err,informed_alpha_err,informed_alpha_pp
7,alpha03,wellspec,ec_centred25_alpha_u05,0.9,0.9,2.09138,33.2,0.3,6.64,0.8,,-64.1,9.0,-7.9,-2.38,9.0,,2.2,-4.0,-8.9,-2.67
8,alpha03,wellspec,ec_centred25_alpha_u05,0.9,0.9,2.18102,32.8,0.3,6.64,0.8,,-67.1,27.9,9.0,2.69,9.0,,-14.4,12.9,9.9,2.98
42,alpha03,wellspec,ec_centred25_alpha_u05,0.9,0.9002,2.4972,31.1,0.3,6.64,0.8,,-59.6,16.3,10.8,3.25,9.0,,26.8,4.2,13.5,4.05
99,alpha03,wellspec,ec_centred25_alpha_u05,0.9,0.9001,2.28994,33.2,0.3,6.64,0.8,,-64.9,24.3,4.5,1.34,9.0,,-2.8,10.3,7.3,2.2
101,alpha03,wellspec,ec_centred25_alpha_u05,0.9,0.9002,2.44369,31.7,0.3,6.64,0.8,,-66.6,14.0,6.8,2.05,9.0,,4.6,-0.9,6.7,2.02
555,alpha03,wellspec,ec_centred25_alpha_u05,0.9,0.9002,2.64331,33.5,0.3,6.64,0.8,,-64.3,1.6,-17.5,-5.26,9.0,,18.0,-9.9,-15.8,-4.74
1320,alpha03,wellspec,ec_centred25_alpha_u05,0.9,0.9,2.64689,31.6,0.3,6.64,0.8,,-68.3,12.8,-3.5,-1.04,9.0,,3.3,-1.6,0.3,0.08
2024,alpha03,wellspec,ec_centred25_alpha_u05,0.9,0.8999,2.53124,31.2,0.3,6.64,0.8,,-62.4,19.7,10.5,3.15,9.0,,17.0,5.8,11.2,3.35
12345,alpha03,wellspec,ec_centred25_alpha_u05,0.9,0.9002,2.35917,32.7,0.3,6.64,0.8,,-64.2,13.2,-4.2,-1.27,9.0,,13.1,-1.2,-4.7,-1.4
31337,alpha03,wellspec,ec_centred25_alpha_u05,0.9,0.8999,2.20477,33.4,0.3,6.64,0.8,,-60.8,15.0,4.0,1.19,9.0,,21.8,1.5,3.4,1.02
