seed,basis,realism,default_ec_err,default_roi_err,default_alpha_err,default_alpha_pp,informed_ec_err,informed_roi_err,informed_alpha_err,informed_alpha_pp
7,alpha03,wellspec,-11.1,-7.2,-26.4,-3.96,-8.5,-6.4,-21.3,-3.19
8,alpha03,wellspec,6.5,-12.3,-22.3,-3.35,5.5,-10.4,-15.7,-2.36
42,alpha03,wellspec,56.8,-16.1,-24.5,-3.67,42.6,-13.0,-17.4,-2.61
99,alpha03,wellspec,-1.7,9.5,25.3,3.79,-1.2,11.4,31.6,4.74
101,alpha03,wellspec,19.3,-14.8,-30.6,-4.59,14.3,-12.1,-22.3,-3.34
555,alpha03,wellspec,-12.0,-3.4,-21.9,-3.28,-9.4,-2.7,-17.4,-2.61
1320,alpha03,wellspec,-18.5,3.6,-7.5,-1.13,-13.5,3.4,-2.9,-0.44
2024,alpha03,wellspec,36.3,-16.8,-48.9,-7.33,29.5,-14.3,-42.3,-6.34
12345,alpha03,wellspec,14.4,-5.5,-12.6,-1.89,11.6,-3.1,-6.4,-0.96
31337,alpha03,wellspec,8.5,-1.2,24.1,3.62,7.6,0.8,30.4,4.55
