seed,basis,channel,true_ec_m,true_roi_m,true_alpha_m
7,alpha03,Display,1.2999999523162842,6.023658752441406,0.1500000059604644
8,alpha03,Display,1.2999998331069946,6.023658752441406,0.1500000059604644
42,alpha03,Display,1.2999999523162842,6.023660182952881,0.1500000059604644
99,alpha03,Display,1.2999999523162842,6.023660182952881,0.1500000059604644
101,alpha03,Display,1.3000000715255735,6.023660182952881,0.1500000059604644
555,alpha03,Display,1.3000000715255735,6.023660659790039,0.1500000059604644
1320,alpha03,Display,1.2999999523162842,6.0236592292785645,0.1500000059604644
2024,alpha03,Display,1.3000000715255735,6.0236592292785645,0.1500000059604644
12345,alpha03,Display,1.2999998331069946,6.023660182952881,0.1500000059604644
31337,alpha03,Display,1.3000000715255735,6.023660182952881,0.1500000059604644
7,alpha03,TV,9.0,6.6404829025268555,0.3000000119209289
8,alpha03,TV,9.0,6.640482425689697,0.3000000119209289
42,alpha03,TV,9.0,6.640482425689697,0.3000000119209289
99,alpha03,TV,9.000000953674316,6.6404829025268555,0.3000000119209289
101,alpha03,TV,9.0,6.6404829025268555,0.3000000119209289
555,alpha03,TV,9.0,6.6404829025268555,0.3000000119209289
1320,alpha03,TV,9.0,6.640483379364014,0.3000000119209289
2024,alpha03,TV,9.0,6.640483379364014,0.3000000119209289
12345,alpha03,TV,9.0,6.640481948852539,0.3000000119209289
31337,alpha03,TV,9.0,6.64048433303833,0.3000000119209289
