seed,channel,variant,spend_multiplier,mean,q05,q25,q50,q75,q95,true_mroi,pct_error
1320,TV,truth,1.0,5.86842961899998,,,,,,,
1320,TV,truth,2.0,4.749306832200074,,,,,,,
1320,TV,truth,3.0,3.9457982589352714,,,,,,,
1320,TV,truth,5.0,2.8790399483219855,,,,,,,
1320,TV,truth,10.0,1.5907222329206434,,,,,,,
1320,Display,truth,1.0,3.3161339446573894,,,,,,,
1320,Display,truth,2.0,1.6625298793343557,,,,,,,
1320,Display,truth,3.0,1.0180602357891109,,,,,,,
1320,Display,truth,5.0,0.5073139468913945,,,,,,,
1320,Display,truth,10.0,0.17610156725805043,,,,,,,
7,TV,truth,1.0,5.872905259269326,,,,,,,
7,TV,truth,2.0,4.757402494316447,,,,,,,
7,TV,truth,3.0,3.9549699876473667,,,,,,,
7,TV,truth,5.0,2.888211151555137,,,,,,,
7,TV,truth,10.0,1.5976694219054177,,,,,,,
7,Display,truth,1.0,3.3098968479006583,,,,,,,
7,Display,truth,2.0,1.6607577985825888,,,,,,,
7,Display,truth,3.0,1.0177180451837557,,,,,,,
7,Display,truth,5.0,0.5074635671030248,,,,,,,
7,Display,truth,10.0,0.17618002289578216,,,,,,,
42,TV,truth,1.0,5.870535179062455,,,,,,,
42,TV,truth,2.0,4.753827972606016,,,,,,,
42,TV,truth,3.0,3.951643566914736,,,,,,,
42,TV,truth,5.0,2.8862898713600096,,,,,,,
42,TV,truth,10.0,1.598081317174851,,,,,,,
42,Display,truth,1.0,3.304652477960316,,,,,,,
42,Display,truth,2.0,1.6542090942999867,,,,,,,
42,Display,truth,3.0,1.0121715230279746,,,,,,,
42,Display,truth,5.0,0.5038520835790464,,,,,,,
42,Display,truth,10.0,0.17458413865301717,,,,,,,
8,TV,truth,1.0,5.8545596673661775,,,,,,,
8,TV,truth,2.0,4.723390990892522,,,,,,,
8,TV,truth,3.0,3.9161790792043556,,,,,,,
8,TV,truth,5.0,2.850402409445983,,,,,,,
8,TV,truth,10.0,1.5711100134809963,,,,,,,
8,Display,truth,1.0,3.312853667849732,,,,,,,
8,Display,truth,2.0,1.6603294102351478,,,,,,,
8,Display,truth,3.0,1.01643322700931,,,,,,,
8,Display,truth,5.0,0.5061554750533465,,,,,,,
8,Display,truth,10.0,0.1754338137354422,,,,,,,
99,TV,truth,1.0,5.851015689322639,,,,,,,
99,TV,truth,2.0,4.716504464073664,,,,,,,
99,TV,truth,3.0,3.9078035602260175,,,,,,,
99,TV,truth,5.0,2.841578081710171,,,,,,,
99,TV,truth,10.0,1.564196790180722,,,,,,,
99,Display,truth,1.0,3.316236447110793,,,,,,,
99,Display,truth,2.0,1.665918934379191,,,,,,,
99,Display,truth,3.0,1.0216685849280798,,,,,,,
99,Display,truth,5.0,0.5100404596819513,,,,,,,
99,Display,truth,10.0,0.17743900999298082,,,,,,,
101,TV,truth,1.0,5.87507505674133,,,,,,,
101,TV,truth,2.0,4.762085789123219,,,,,,,
101,TV,truth,3.0,3.960940107518028,,,,,,,
101,TV,truth,5.0,2.8946315469787645,,,,,,,
101,TV,truth,10.0,1.6027432811974631,,,,,,,
101,Display,truth,1.0,3.3134585230210662,,,,,,,
101,Display,truth,2.0,1.661397282054772,,,,,,,
101,Display,truth,3.0,1.017582030676198,,,,,,,
101,Display,truth,5.0,0.5071188885759644,,,,,,,
101,Display,truth,10.0,0.17601921049163197,,,,,,,
555,TV,truth,1.0,5.872390506997097,,,,,,,
555,TV,truth,2.0,4.75758526298426,,,,,,,
555,TV,truth,3.0,3.956225830363134,,,,,,,
555,TV,truth,5.0,2.890759968984129,,,,,,,
555,TV,truth,10.0,1.600947662951077,,,,,,,
555,Display,truth,1.0,3.307303175944453,,,,,,,
555,Display,truth,2.0,1.6535918570136279,,,,,,,
555,Display,truth,3.0,1.0106212718883034,,,,,,,
555,Display,truth,5.0,0.502249756156177,,,,,,,
555,Display,truth,10.0,0.1736816992619243,,,,,,,
2024,TV,truth,1.0,5.872868436566219,,,,,,,
2024,TV,truth,2.0,4.7570647761699165,,,,,,,
2024,TV,truth,3.0,3.9545104475557467,,,,,,,
2024,TV,truth,5.0,2.8874655562447047,,,,,,,
2024,TV,truth,10.0,1.5969673547983405,,,,,,,
2024,Display,truth,1.0,3.3035894964974513,,,,,,,
2024,Display,truth,2.0,1.6536184108777274,,,,,,,
2024,Display,truth,3.0,1.0118206006191526,,,,,,,
2024,Display,truth,5.0,0.5036266146750609,,,,,,,
2024,Display,truth,10.0,0.17449001186854768,,,,,,,
12345,TV,truth,1.0,5.870155455244179,,,,,,,
12345,TV,truth,2.0,4.752675466403847,,,,,,,
12345,TV,truth,3.0,3.9500699659905845,,,,,,,
12345,TV,truth,5.0,2.884301530739309,,,,,,,
12345,TV,truth,10.0,1.5963218568153092,,,,,,,
12345,Display,truth,1.0,3.3087413593742094,,,,,,,
12345,Display,truth,2.0,1.6566273034177479,,,,,,,
12345,Display,truth,3.0,1.0135042893665525,,,,,,,
12345,Display,truth,5.0,0.504350979040534,,,,,,,
