seed,target_oracle_r2,achieved_oracle_r2,noise_scale,media_share_pct,true_roi_m,default_ec_err,default_roi_err,default_alpha_err,informed_ec_err,informed_roi_err,informed_alpha_err
7,0.9,0.9,1.46488,32.9,6.64,-68.7,51.1,25.3,-15.6,29.4,21.5
8,0.9,0.9001,1.66819,32.5,6.64,-73.1,54.9,23.3,-52.7,38.1,20.1
42,0.9,0.8999,1.62803,31.7,6.64,-55.8,22.3,-11.9,42.8,10.0,-10.2
99,0.9,0.9001,1.74677,33.6,6.64,-59.2,18.4,13.5,31.4,5.5,15.4
101,0.9,0.9002,1.98382,32.0,6.64,-70.1,3.1,-0.8,-15.6,-10.7,-0.2
555,0.9,0.9,1.85147,33.3,6.64,-70.3,34.9,-0.0,35.0,13.6,3.1
1320,0.9,0.8998,1.8691,31.6,6.64,-71.0,37.1,3.8,-11.9,15.1,-0.6
2024,0.9,0.8999,1.78502,31.6,6.64,-64.6,61.4,39.2,26.8,39.8,41.5
12345,0.9,0.8999,1.77058,33.2,6.64,-75.8,57.9,35.1,-40.5,28.3,24.1
31337,0.9,0.9,1.77297,33.1,6.64,-68.5,61.6,24.3,7.4,36.5,22.2
