channel,param,variant,unit,median,q25,q75,n_draws
TV,ec_m,default,pct,-68.73429870605469,-73.4216537475586,-62.778350830078125,20000
TV,ec_m,ec_alpha_noisy,pct,-3.9494662284851074,-31.0136661529541,26.594736099243164,20000
TV,roi_m,default,pct,43.60845184326172,23.39618682861328,57.15442657470703,20000
TV,roi_m,ec_alpha_noisy,pct,21.303295135498047,8.733955383300781,34.55511474609375,20000
TV,alpha_m,default,pct,17.38364028930664,0.6877988576889038,28.70587730407715,20000
TV,alpha_m,ec_alpha_noisy,pct,15.068578720092773,0.8087575435638428,25.279865264892578,20000
Display,ec_m,default,pct,5.112862586975098,-18.531166076660156,28.99710464477539,20000
Display,ec_m,ec_alpha_noisy,pct,-2.081486701965332,-18.318897247314453,20.173534393310547,20000
Display,roi_m,default,pct,-3.2968015670776367,-14.643999099731445,10.251199722290039,20000
Display,roi_m,ec_alpha_noisy,pct,-0.5186349153518677,-11.6727294921875,13.301298141479492,20000
Display,alpha_m,default,pct,3.418886661529541,-30.544984817504883,30.377138137817383,20000
Display,alpha_m,ec_alpha_noisy,pct,11.005282402038574,-21.09846305847168,36.59265899658203,20000
