seed,channel,true_ROI,dflt_ROI,dflt_err%,infm_ROI,infm_err%,ec_anchor,ec_pert%,al_anchor,al_pert%
1320,TV,6.64,9.1,37.1,7.65,15.1,8.65,-3.8,0.275,-8.3
1320,Display,6.024,7.44,23.5,7.22,19.8,1.44,10.6,0.169,12.5
7,TV,6.64,10.03,51.1,8.59,29.4,9.0,0.0,0.28,-6.6
7,Display,6.024,5.17,-14.1,5.34,-11.4,1.4,7.8,0.12,-20.0
42,TV,6.64,8.12,22.3,7.31,10.0,9.71,7.9,0.362,20.6
42,Display,6.024,3.97,-34.2,4.33,-28.1,1.0,-22.9,0.19,26.5
8,TV,6.64,10.28,54.9,9.17,38.1,5.83,-35.2,0.213,-28.8
8,Display,6.024,7.05,17.0,7.24,20.1,0.93,-28.4,0.137,-8.4
99,TV,6.64,7.86,18.4,7.0,5.5,9.19,2.1,0.304,1.3
99,Display,6.024,5.68,-5.6,5.85,-2.8,1.16,-11.0,0.178,18.7
101,TV,6.64,6.84,3.1,5.93,-10.7,7.39,-17.9,0.349,16.3
101,Display,6.024,5.39,-10.6,5.82,-3.3,0.78,-39.9,0.181,20.5
555,TV,6.64,8.96,34.9,7.55,13.6,12.96,44.0,0.281,-6.4
555,Display,6.024,4.93,-18.1,4.98,-17.3,1.25,-3.6,0.113,-24.4
2024,TV,6.64,10.72,61.4,9.28,39.8,11.64,29.3,0.4,33.2
2024,Display,6.024,6.01,-0.2,5.95,-1.3,1.96,50.8,0.118,-21.6
12345,TV,6.64,10.49,57.9,8.52,28.3,6.3,-29.9,0.241,-19.6
12345,Display,6.024,6.34,5.3,6.43,6.7,1.78,37.2,0.141,-6.3
31337,TV,6.64,10.73,61.6,9.06,36.5,12.2,35.5,0.368,22.8
31337,Display,6.024,6.64,10.3,7.21,19.7,0.94,-27.7,0.186,24.2
