seed,variant,spend_multiplier,mean,ci_lo,ci_hi,true_mroi,pct_error,truth_in_ci
84275,truth,1.0,5.872554832931915,,,5.872554832931915,0.0,
84275,truth,2.0,4.759340757184774,,,4.759340757184774,0.0,
84275,truth,3.0,3.9591155759588865,,,3.9591155759588865,0.0,
84275,truth,5.0,2.895084616868556,,,2.895084616868556,0.0,
84275,truth,10.0,1.6054390891593961,,,1.6054390891593961,0.0,
84275,default,1.0,5.581553936004639,5.167974472045898,6.0087127685546875,5.872554832931915,-4.955269132531736,1.0
84275,default,2.0,3.6059365272521973,3.2163009643554688,3.984034299850464,4.759340757184774,-24.23453769708295,0.0
84275,default,3.0,2.562185525894165,2.218750238418579,2.9153554439544678,3.9591155759588865,-35.2838916486137,0.0
84275,default,5.0,1.515892505645752,1.2561218738555908,1.7908496856689453,2.895084616868556,-47.63909500906387,0.0
84275,default,10.0,0.6340786218643188,0.4972273111343384,0.7884653806686401,1.6054390891593961,-60.50434886344266,0.0
84275,ec_alpha_noisy,1.0,5.9150238037109375,5.511048316955566,6.337390899658203,5.872554832931915,0.7231770836922058,1.0
84275,ec_alpha_noisy,2.0,4.910421848297119,4.410642623901367,5.4055376052856445,4.759340757184774,3.1744121469821307,1.0
84275,ec_alpha_noisy,3.0,4.17020320892334,3.599555492401123,4.7410888671875,3.9591155759588865,5.331686557630455,1.0
84275,ec_alpha_noisy,5.0,3.1542606353759766,2.543058156967163,3.8048481941223145,2.895084616868556,8.952277836623512,1.0
84275,ec_alpha_noisy,10.0,1.8535600900650024,1.3333395719528198,2.451378583908081,1.6054390891593961,15.455024272239548,1.0
