seed,channel,variant,spend_multiplier,mean,q05,q25,q50,q75,q95,true_mroi,pct_error
101,TV,truth,1.0,5.87507505674133,,,,,,,
101,TV,truth,2.0,4.762085789123219,,,,,,,
101,TV,truth,3.0,3.960940107518028,,,,,,,
101,TV,truth,5.0,2.8946315469787645,,,,,,,
101,TV,truth,10.0,1.6027432811974631,,,,,,,
101,Display,truth,1.0,3.3134590476125436,,,,,,,
101,Display,truth,2.0,1.6613975450895584,,,,,,,
101,Display,truth,3.0,1.0175821917812358,,,,,,,
101,Display,truth,5.0,0.5071189688637499,,,,,,,
101,Display,truth,10.0,0.1760192383592443,,,,,,,
12345,TV,truth,1.0,5.870154612200596,,,,,,,
12345,TV,truth,2.0,4.752674783847383,,,,,,,
12345,TV,truth,3.0,3.9500693987004745,,,,,,,
12345,TV,truth,5.0,2.8843011165097523,,,,,,,
12345,TV,truth,10.0,1.5963216275592176,,,,,,,
12345,Display,truth,1.0,3.3087416212965133,,,,,,,
12345,Display,truth,2.0,1.6566274345575358,,,,,,,
12345,Display,truth,3.0,1.0135043695962682,,,,,,,
12345,Display,truth,5.0,0.504351018965314,,,,,,,
12345,Display,truth,10.0,0.1747069381038157,,,,,,,
1320,TV,truth,1.0,5.86842961899998,,,,,,,
1320,TV,truth,2.0,4.749306832200074,,,,,,,
1320,TV,truth,3.0,3.9457982589352714,,,,,,,
1320,TV,truth,5.0,2.8790399483219855,,,,,,,
1320,TV,truth,10.0,1.5907222329206434,,,,,,,
1320,Display,truth,1.0,3.316133419642419,,,,,,,
1320,Display,truth,2.0,1.662529616120297,,,,,,,
1320,Display,truth,3.0,1.0180600746083883,,,,,,,
1320,Display,truth,5.0,0.5073138665727399,,,,,,,
1320,Display,truth,10.0,0.1761015393774036,,,,,,,
15510,TV,truth,1.0,5.879057004590258,,,,,,,
15510,TV,truth,2.0,4.7710458214356715,,,,,,,
15510,TV,truth,3.0,3.9725613146148495,,,,,,,
15510,TV,truth,5.0,2.908607576336676,,,,,,,
15510,TV,truth,10.0,1.6161319162813916,,,,,,,
15510,Display,truth,1.0,3.3202393304053284,,,,,,,
15510,Display,truth,2.0,1.664837976450437,,,,,,,
15510,Display,truth,3.0,1.019094738364254,,,,,,,
15510,Display,truth,5.0,0.5073454905998063,,,,,,,
