seed,default_ec_err,default_roi_err,default_alpha_err,default_alpha_pp,informed_ec_err,informed_roi_err,informed_alpha_err,informed_alpha_pp
7,-11.1,-7.2,-26.4,-3.96,-6.5,-7.0,-22.0,-3.3
8,6.5,-12.3,-22.3,-3.35,-4.2,-8.3,-15.8,-2.38
42,56.8,-16.1,-24.5,-3.67,27.1,-9.8,-12.2,-1.83
99,-1.7,9.5,25.3,3.79,-4.5,12.4,31.0,4.66
101,19.3,-14.8,-30.6,-4.59,-6.7,-6.6,-16.6,-2.48
555,-12.0,-3.4,-21.9,-3.28,-10.2,-2.4,-17.3,-2.59
938,-7.0,6.2,29.7,4.46,-1.8,6.2,34.1,5.12
1320,-18.5,3.6,-7.5,-1.13,-10.5,2.3,-2.9,-0.43
2016,-24.2,-4.5,-26.5,-3.98,-14.4,-6.0,-20.8,-3.13
2024,36.3,-16.8,-48.9,-7.33,51.6,-16.6,-40.3,-6.04
2559,5.1,-2.7,-18.2,-2.73,7.9,-1.8,-10.8,-1.61
3573,-3.4,2.9,5.0,0.75,-10.5,7.4,12.3,1.84
6928,6.1,-10.2,-33.8,-5.07,28.6,-11.7,-25.8,-3.88
12345,14.4,-5.5,-12.6,-1.89,24.1,-6.1,-8.2,-1.23
15510,14.1,-3.4,-1.0,-0.15,12.3,-0.7,7.6,1.14
16847,-0.4,-5.9,-24.1,-3.62,-0.7,-4.2,-17.4,-2.61
21877,-3.0,-10.5,-36.5,-5.47,0.3,-10.0,-31.6,-4.73
28214,-17.0,4.8,1.4,0.21,-7.2,3.4,7.2,1.08
28767,6.6,-1.1,14.4,2.16,6.5,1.1,22.5,3.38
31337,8.5,-1.2,24.1,3.62,-3.1,4.5,32.4,4.86
32226,-10.4,-1.5,-15.9,-2.39,6.2,-3.9,-9.1,-1.36
32325,-9.1,-0.0,-4.5,-0.67,-6.2,1.3,3.1,0.46
33080,19.9,-14.3,-4.6,-0.68,10.4,-10.1,4.8,0.71
35532,5.4,-3.4,1.3,0.19,9.4,-3.2,5.2,0.78
36452,31.1,-2.8,8.5,1.27,30.9,-1.4,12.9,1.93
38578,-11.7,1.4,4.9,0.74,-3.9,1.1,11.3,1.69
41172,-19.5,3.2,-21.0,-3.16,-21.8,6.0,-14.7,-2.21
42975,18.0,2.8,8.8,1.31,29.8,1.9,14.2,2.13
44329,24.2,-3.5,-19.6,-2.94,20.3,-0.5,-11.2,-1.68
49024,-27.8,14.6,16.4,2.46,-16.8,12.6,24.8,3.73
52463,31.5,-6.6,-9.0,-1.36,28.2,-3.7,-0.8,-0.12
54351,-18.4,6.3,-14.7,-2.2,-17.9,8.6,-6.8,-1.01
55463,4.3,-2.1,-2.5,-0.37,4.4,-1.0,1.5,0.22
57719,15.3,-5.9,2.2,0.33,24.4,-5.6,9.9,1.49
61225,9.4,-9.1,-21.8,-3.28,2.8,-5.7,-14.4,-2.16
61686,1.5,12.2,30.9,4.63,8.6,11.3,34.4,5.15
62256,-3.9,-5.2,-20.5,-3.08,-1.5,-3.8,-13.7,-2.06
71064,-12.2,-3.9,-28.7,-4.31,-4.3,-3.8,-22.1,-3.32
77175,-21.6,5.0,-8.1,-1.21,-10.6,3.3,-0.4,-0.06
78122,-20.9,4.9,-0.5,-0.08,-24.9,8.6,6.1,0.91
80694,16.1,5.0,0.7,0.1,12.1,8.2,8.6,1.3
84275,-1.9,5.5,8.2,1.24,1.5,6.3,13.7,2.05
86071,5.3,-2.2,10.8,1.62,4.6,-0.5,15.9,2.38
88982,-16.7,9.3,7.0,1.06,-15.8,11.2,13.1,1.96
89066,20.8,-1.4,28.4,4.26,15.9,1.9,35.4,5.3
90033,7.4,-7.6,6.6,0.99,2.5,-3.6,17.8,2.67
93612,-14.0,1.0,-9.7,-1.46,-17.0,5.0,1.3,0.19
93750,-3.1,7.2,9.5,1.43,-1.8,7.8,11.6,1.74
96275,17.7,-4.8,-9.4,-1.41,6.5,-0.4,-1.7,-0.25
99768,-0.6,5.0,9.1,1.36,12.6,2.9,13.1,1.96
