,geo,time,Display_impression,Social_impression,TV_impression,competitor_activity_score_control,seasonality_index_control,sentiment_score_control,Display_spend,Social_spend,TV_spend,Display_reach,Social_reach,TV_reach,Display_frequency,Social_frequency,TV_frequency,conversions,revenue_per_conversion,population
0,Alabama,2023-01-09,1.196983e+06,1.825111e+06,1.178e+06,0.5379438,0.73778486,1.3514284,2408.5122,8783.31,11920.662,244239.55,429454.1,371665.22,4.900856,4.2498403,3.169518,1.4954799e+07,0.035048917,5.193088e+06
1,Alabama,2023-01-16,399047.0,1.28258e+06,2.180882e+06,0.8456434,0.5934243,0.65799785,802.94336,6172.3906,22069.234,246752.55,408092.22,438601.03,1.6171942,3.1428678,4.9723587,1.6997188e+07,0.03452891,5.193088e+06
2,Alabama,2023-01-23,189363.0,2.171942e+06,1.112088e+06,-0.23366617,0.4404532,0.900505,381.02722,10452.427,11253.672,172909.06,479700.0,325312.38,1.0951602,4.5277085,3.4185247,1.6647568e+07,0.03495413,5.193088e+06
3,Alabama,2023-01-30,202454.0,1.210192e+06,1.128634e+06,-0.7548619,0.28110215,-2.2149737,407.36832,5824.025,11421.108,126432.53,550734.44,274616.28,1.6012794,2.1974154,4.1098566,6.8903025e+06,0.03462191,5.193088e+06
4,Alabama,2023-02-06,479950.0,2.256826e+06,307419.0,-0.09395033,0.11769491,-1.2802876,965.73254,10860.93,3110.8982,158873.31,479004.1,168121.39,3.020961,4.7114964,1.8285544,9.660967e+06,0.03492767,5.193088e+06
5,Alabama,2023-02-13,1.055751e+06,1.556322e+06,320362.0,-0.7175251,-0.047385685,0.24859679,2124.332,7489.7686,3241.8738,209330.84,344728.38,103760.11,5.043458,4.5146337,3.0875266,1.1454817e+07,0.035292275,5.193088e+06
6,Alabama,2023-02-20,486193.0,647844.0,68162.0,-0.051243335,-0.21173239,-0.6168836,978.29443,3117.7363,689.75903,339831.16,264666.28,22120.967,1.4306906,2.4477785,3.081331,1.2265898e+07,0.03465609,5.193088e+06
7,Alabama,2023-02-27,841117.0,511886.0,32525.0,0.29323453,-0.37294865,-0.61631393,1692.4556,2463.441,329.13373,201895.98,283356.56,18820.5,4.1660895,1.8065095,1.7281765,1.1900146e+07,0.035035126,5.193088e+06
8,Alabama,2023-03-06,400130.0,566105.0,47204.0,-0.36711803,-0.5286836,0.23790349,805.12256,2724.369,477.67654,188813.36,437966.2,18820.5,2.1191835,1.2925779,2.5081184,1.0606281e+07,0.03543209,5.193088e+06
9,Alabama,2023-03-13,759563.0,691719.0,104437.0,-1.2226002,-0.67666626,-2.42152,1528.3564,3328.8838,1056.8406,152978.05,441818.38,74142.5,4.965177,1.5656178,1.4085916,4.0433718e+06,0.035456594,5.193088e+06
10,Alabama,2023-03-20,290341.0,608882.0,109265.0,1.2891092,-0.8147387,0.77518564,584.2104,2930.2324,1105.6971,91481.71,324312.53,89201.99,3.1737587,1.877454,1.2249185,1.6154735e+07,0.034949552,5.193088e+06
11,Alabama,2023-03-27,331848.0,583945.0,153987.0,0.17779967,-0.94088745,0.3314415,667.72876,2810.2234,1558.2572,108853.17,323202.56,37062.445,3.0485864,1.8067454,4.154804,1.4212428e+07,0.0345437,5.193088e+06
12,Alabama,2023-04-03,657426.0,1.533641e+06,46493.0,-1.479234,-1.0532732,0.20207088,1322.8414,7380.6167,470.48163,164640.72,426922.38,18820.5,3.9930975,3.5923173,2.4703548,1.0775337e+07,0.034682706,5.193088e+06
13,Alabama,2023-04-10,888784.0,616778.0,78090.0,0.14577146,-1.1502568,0.8062748,1788.3689,2968.2317,790.22455,173657.33,328925.8,26102.078,5.1180344,1.8751268,2.9917169,1.0036025e+07,0.03469796,5.193088e+06
14,Alabama,2023-04-17,443622.0,1.135224e+06,33130.0,0.22771895,-1.2304243,0.57572734,892.6351,5463.243,335.25598,301416.75,317412.38,22967.629,1.4717891,3.576496,1.4424795,1.1669292e+07,0.034572218,5.193088e+06
15,Alabama,2023-04-24,419647.0,1.57682e+06,160041.0,-0.07985054,-1.2926064,-1.5834585,844.39374,7588.4146,1619.5201,97749.69,373346.34,35315.254,4.293081,4.2234764,4.5317793,5.707335e+06,0.034991864,5.193088e+06
16,Alabama,2023-05-01,449439.0,1.218012e+06,391033.0,-1.3694954,-1.3358965,-2.8068643,904.3397,5861.6587,3957.0222,206437.27,307841.1,88279.42,2.1771193,3.9566264,4.429487,689344.3,0.034668546,5.193088e+06
17,Alabama,2023-05-08,795807.0,900741.0,90487.0,-0.75957257,-1.3596634,-0.8049713,1601.285,4334.798,915.6748,158310.31,247938.05,41231.59,5.0268793,3.6329296,2.1946142,5.4067725e+06,0.03487573,5.193088e+06
18,Alabama,2023-05-15,288255.0,596423.0,90343.0,-0.9096716,-1.3635606,-0.30495474,580.013,2870.2737,914.21765,154502.31,235164.77,18820.5,1.8657024,2.5361905,4.800265,5.869877e+06,0.03482615,5.193088e+06
19,Alabama,2023-05-22,580892.0,716866.0,66867.0,-1.0280311,-1.3475308,-0.7144854,1168.8433,3449.9033,676.6544,131967.2,243473.06,18820.5,4.401787,2.9443352,3.5528848,7.1518835e+06,0.0354365,5.193088e+06
20,Alabama,2023-05-29,321679.0,1.090321e+06,495735.0,-1.5533845,-1.3118082,-0.042224877,647.2672,5247.148,5016.5444,87778.195,291366.9,176247.55,3.6646838,3.74209,2.8127213,7.330409e+06,0.035432406,5.193088e+06
21,Alabama,2023-06-05,173889.0,408586.0,373566.0,-0.13919637,-1.2569137,0.1325706,349.89117,1966.312,3780.2668,69474.99,344585.3,138475.9,2.5029013,1.185731,2.6976972,1.144802e+07,0.035461105,5.193088e+06
22,Alabama,2023-06-12,556250.0,1.073785e+06,39543.0,-0.5977217,-1.1836475,-1.5175467,1119.2598,5167.569,400.15176,150667.17,369490.03,26095.945,3.6919146,2.9061277,1.5152941,4.7626735e+06,0.034694687,5.193088e+06
23,Alabama,2023-06-19,599330.0,1.885323e+06,186983.0,-0.5544511,-1.0930783,-1.0371115,1205.9434,9073.079,1892.1572,148953.48,393177.06,43339.855,4.0236034,4.7950983,4.3143344,4.1011808e+06,0.034744732,5.193088e+06
24,Alabama,2023-06-26,142887.0,943192.0,73883.0,-0.582805,-0.98652655,-0.42361346,287.51044,4539.0923,747.65216,84579.27,402267.7,18820.5,1.6893826,2.3446872,3.925668,2.247161e+06,0.03507187,5.193088e+06
25,Alabama,2023-07-03,107173.0,749740.0,78219.0,2.0625775,-0.86554617,0.6476214,215.6484,3608.1086,791.5299,100649.64,357376.94,18820.5,1.0648134,2.097897,4.156036,1.4489615e+07,0.03545957,5.193088e+06
26,Alabama,2023-07-10,287838.0,337697.0,326375.0,-0.0041497294,-0.7319013,-1.0530354,579.17395,1625.16,3302.7217,108957.53,326548.75,127662.875,2.641741,1.0341387,2.5565388,6.706075e+06,0.035414383,5.193088e+06
27,Alabama,2023-07-17,324751.0,930454.0,560292.0,-0.8886714,-0.5875407,0.45328325,653.4485,4477.791,5669.823,128928.62,227015.92,120049.375,2.518845,4.0986266,4.667182,1.3049339e+07,0.035297338,5.193088e+06
28,Alabama,2023-07-24,345474.0,593531.0,220657.0,0.28828153,-0.4345696,-2.1027925,695.14636,2856.356,2232.9182,157756.73,329427.25,67555.555,2.1899164,1.8017055,3.2663088,9.558496e+06,0.034957923,5.193088e+06
29,Alabama,2023-07-31,875120.0,1.577855e+06,218873.0,0.32040536,-0.27521855,0.89901924,1760.8749,7593.3955,2214.865,208781.52,412114.03,86938.05,4.1915584,3.828685,2.5175729,1.4252285e+07,0.034559693,5.193088e+06
30,Alabama,2023-08-07,1.092994e+06,1.494238e+06,348625.0,0.28589717,-0.111811325,1.2133284,2199.2705,7190.9907,3527.8784,235120.66,405455.25,129468.79,4.648652,3.6853335,2.6927314,1.2836995e+07,0.035075247,5.193088e+06
