geo,time,Channel0_impression,Channel1_impression,Channel2_impression,Channel3_impression,competitor_activity_score_control,sentiment_score_control,Channel0_spend,Channel1_spend,Channel2_spend,Channel3_spend,conversions,revenue_per_conversion,population,Channel3_reach,Channel3_frequency
Geo0,1/25/21,1392518,3733,670235,0,-0.7833502,3.036792,15482.038,42.681618,8004.103,0,12530976,0.035212554,487878,0,0
Geo0,2/1/21,937228,722210,745025,226872,-1.8344073,-4.2447376,10420.116,8257.458,8897.263,2668.1526,4926880.5,0.035026085,487878,181472,1.2501763
Geo0,2/8/21,1286569,329778,786262,743321,-1.995511,0.2009452,14304.095,3770.5486,9389.725,8741.906,10300557,0.034529336,487878,381866,1.9465493
Geo0,2/15/21,1149907,529628,190449,400702,-4.925971,-1.5423908,12784.685,6055.5527,2274.3865,4712.499,7398028.5,0.03543016,487878,273012,1.4677083
Geo0,2/22/21,1077028,1057061,584113,346168,-4.541369,0.6684942,11974.415,12086.009,6975.6143,4071.146,9409540,0.034636788,487878,247506,1.3986247
Geo0,3/1/21,774729,656869,849588,322673,1.7773812,-4.721286,8613.449,7510.3755,10145.979,3794.8306,7860990.5,0.0352429,487878,235945,1.3675772
Geo0,3/8/21,1225214,697392,977871,167921,1.3268511,0.25394657,13621.949,7973.6987,11677.964,1974.8529,11927644,0.035368923,487878,142038,1.182226
Geo0,3/15/21,777514,752208,633407,0,1.3919222,-2.418649,8644.413,8600.443,7564.2944,0,8160054.5,0.035085868,487878,0,0
Geo0,3/22/21,1410003,573287,1164050,519385,2.514721,1.4320503,15676.437,6554.7324,13901.357,6108.283,12857955,0.034718554,487878,319965,1.6232556
Geo0,3/29/21,1066667,719666,516114,784015,3.8408453,-1.2340704,11859.221,8228.371,6163.554,9220.492,12365915,0.034733206,487878,390412,2.0081735
Geo0,4/5/21,853537,69896,0,536537,3.6652486,-3.4031038,9489.639,799.16266,0,6310.001,9099579,0.035038866,487878,326112,1.6452538
Geo0,4/12/21,1652474,719102,1050191,596608,0.17907412,1.5271134,18372.232,8221.922,12541.627,7016.4727,12162038,0.034662254,487878,344181,1.7334136
Geo0,4/19/21,1317266,1017436,802109,0,6.6186237,-1.5336385,14645.385,11632.953,9578.974,0,11602825,0.034559503,487878,0,0
Geo0,4/26/21,1249849,729988,513139,172502,-0.86046714,0.40367955,13895.842,8346.389,6128.026,2028.7283,9781006,0.034559634,487878,145222,1.1878504
Geo0,5/3/21,866496,961641,801856,564532,-2.7519727,-2.8052917,9633.717,10995.016,9575.952,6639.2393,6722630,0.0345682,487878,334594,1.687215
Geo0,5/10/21,621774,470920,0,863224,-0.89471257,3.908078,6912.8936,5384.3096,0,10152.038,11944040,0.034799628,487878,405298,2.1298501
Geo0,5/17/21,937212,860998,624768,319531,0.45461172,-1.1633611,10419.938,9844.304,7461.1255,3757.8787,10038073,0.03498595,487878,234616,1.3619318
Geo0,5/24/21,1556883,1029000,928534,759145,-3.3777642,-5.7397947,17309.451,11765.171,11088.7705,8928.006,3549004.2,0.03538363,487878,385153,1.9710219
Geo0,5/31/21,893318,440928,450116,780507,-5.081344,1.5314934,9931.924,5041.393,5375.3906,9179.236,10486355,0.035461146,487878,389295,2.0049243
